"SortOrder","IndexTitle","AltText","DetailHref","DetailPath","DetailExists","ImageSrc","ImagePath","ImageExists","DetailMetaTitle","DetailDate","Medium","Dimensions","WorkID","MetaWorkID","SignatureMarks","DetailHeroImage","DetailHeroImageExists"
"11","Heart Skull Stencil","Heart Skull Stencil","../../../detail/paintings/2020s/2025/Heart-Skull-Stencil.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Heart-Skull-Stencil.html","YES","../../../images/Paintings/2020s/2025/heart_skull_stencil.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\heart_skull_stencil.jpg","YES","Heart Skull Stencil","2025","Spray paint on paper","24 × 36 inches","RE-001701","RE-001701","None observed.","../../../../images/Paintings/2020s/2025/heart_skull_stencil.jpg","YES"
"12","Krusty Grin Stencil 1","Krusty Grin Stencil 1","../../../detail/paintings/2020s/2025/Krusty-Grin-Stencil-1.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Krusty-Grin-Stencil-1.html","YES","../../../images/Paintings/2020s/2025/krusty_grin stencil 1.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\krusty_grin stencil 1.jpg","YES","Krusty Grin Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001702","RE-001702","None observed.","../../../../images/Paintings/2020s/2025/krusty_grin stencil 1.jpg","YES"
"13","Krusty Grin Stencil 2","Krusty Grin Stencil 2","../../../detail/paintings/2020s/2025/Krusty-Grin-Stencil-2.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Krusty-Grin-Stencil-2.html","YES","../../../images/Paintings/2020s/2025/krusty_grin stencil 2.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\krusty_grin stencil 2.jpg","YES","Krusty Grin Stencil 2","2025","Spray paint on paper","24 × 36 inches","RE-001703","RE-001703","None observed.","../../../../images/Paintings/2020s/2025/krusty_grin stencil 2.jpg","YES"
"14","Lady Lips Stencil 1","Lady Lips Stencil 1","../../../detail/paintings/2020s/2025/Lady-Lips-Stencil-1.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Lady-Lips-Stencil-1.html","YES","../../../images/Paintings/2020s/2025/lady_lips_stencil_1.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\lady_lips_stencil_1.jpg","YES","Lady Lips Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001704","RE-001704","None observed.","../../../../images/Paintings/2020s/2025/lady_lips_stencil_1.jpg","YES"
"15","Lady Lips Stencil 2","Lady Lips Stencil 2","../../../detail/paintings/2020s/2025/Lady-Lips-Stencil-2.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Lady-Lips-Stencil-2.html","YES","../../../images/Paintings/2020s/2025/lady_lips_stencil_2.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\lady_lips_stencil_2.jpg","YES","Lady Lips Stencil 2","2025","Spray paint on paper","24 × 36 inches","RE-001705","RE-001705","None observed.","../../../../images/Paintings/2020s/2025/lady_lips_stencil_2.jpg","YES"
"16","Ladyzilla with Bunnny","Ladyzilla with Bunnny","../../../detail/paintings/2020s/2025/Ladyzilla-Bunnny.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Ladyzilla-Bunnny.html","YES","../../../images/Paintings/2020s/2025/ladyzilla_bunnny.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\ladyzilla_bunnny.jpg","YES","Ladyzilla with Bunnny","2025","Oil and acrylic on paper","24 × 36 inches","RE-001706","RE-001706","None observed.","../../../../images/Paintings/2020s/2025/ladyzilla_bunnny.jpg","YES"
"17","Last Breakfast With Holy Ghost","Last Breakfast With Holy ghost","../../../detail/paintings/2020s/2025/Last-Breakfast-With-Holyghost.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Last-Breakfast-With-Holyghost.html","YES","../../../images/Paintings/2020s/2025/last_breakfast_with_holyghost.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\last_breakfast_with_holyghost.jpg","YES","Last Breakfast with Holy Ghost","2025","Oil and acrylic on paper","24 × 36 inches","RE-001727","RE-001727","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/last_breakfast_with_holyghost.jpg","YES"
"18","Liberty Grin","Liberty Grin","../../../detail/paintings/2020s/2025/Liberty-Grin.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Liberty-Grin.html","YES","../../../images/Paintings/2020s/2025/liberty_grin.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\liberty_grin.jpg","YES","Liberty Grin","2025","Oil and acrylic on paper","24 × 36 inches","RE-001707","RE-001707","Signed ""ENGLISH,"" lower right.","../../../../images/Paintings/2020s/2025/liberty_grin.jpg","YES"
"19","Liberty Grin Stencil","Liberty Grin Stencil","../../../detail/paintings/2020s/2025/Liberty-Grin-Stencil-1.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Liberty-Grin-Stencil-1.html","YES","../../../images/Paintings/2020s/2025/liberty_grin_stencil_1.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\liberty_grin_stencil_1.jpg","YES","Liberty Grin Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001708","RE-001708","None observed.","../../../../images/Paintings/2020s/2025/liberty_grin_stencil_1.jpg","YES"
"20","Mc Supersized","Mc Supersized","../../../detail/paintings/2020s/2025/Mc-Supersized.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Mc-Supersized.html","YES","../../../images/Paintings/2020s/2025/mc_supersized.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\mc_supersized.jpg","YES","MC Supersized","2025","Oil and acrylic on paper","24 × 36 inches","RE-001710","RE-001710","None observed.","../../../../images/Paintings/2020s/2025/mc_supersized.jpg","YES"
"21","Mickey Marilyn","Mickey Marilyn","../../../detail/paintings/2020s/2025/Mickey-Marilyn.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Mickey-Marilyn.html","YES","../../../images/Paintings/2020s/2025/mickey_marilyn.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\mickey_marilyn.jpg","YES","Marilyn Mickies","2025","Oil and acrylic on paper","24 × 36 inches","RE-001709","RE-001709","None observed.","../../../../images/Paintings/2020s/2025/mickey_marilyn.jpg","YES"
"22","Mona Lisa Grin Stencil 1","Mona Lisa Grin Stencil 1","../../../detail/paintings/2020s/2025/Mona-Lisa-Grin.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Mona-Lisa-Grin.html","YES","../../../images/Paintings/2020s/2025/mona_lisa_grin.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\mona_lisa_grin.jpg","YES","Mona Lisa Grin Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001711","RE-001711","None observed.","../../../../images/Paintings/2020s/2025/mona_lisa_grin.jpg","YES"
"23","Mona Lisa Grin Stencil 2","Mona Lisa Grin Stencil 2","../../../detail/paintings/2020s/2025/Mona-Lisa-Grin-Stencil-2.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Mona-Lisa-Grin-Stencil-2.html","YES","../../../images/Paintings/2020s/2025/mona_lisa_grin_stencil_2.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\mona_lisa_grin_stencil_2.jpg","YES","Mona Lisa Grin Stencil 2","2025","Spray paint on paper","24 × 36 inches","RE-001712","RE-001712","None observed.","../../../../images/Paintings/2020s/2025/mona_lisa_grin_stencil_2.jpg","YES"
"24","Monarch Elephant Stencil 1","Monarch Elephant Stencil 1","../../../detail/paintings/2020s/2025/Monarch-Elephant-Stencil-1.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Monarch-Elephant-Stencil-1.html","YES","../../../images/Paintings/2020s/2025/monarch_elephant_stencil_1.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\monarch_elephant_stencil_1.jpg","YES","Monarch Elephant Stencil 1","2025","Spray paint on paper","24 × 36 inches","RE-001713","RE-001713","None observed.","../../../../images/Paintings/2020s/2025/monarch_elephant_stencil_1.jpg","YES"
"25","Monarch Fish","Monarch Fish","../../../detail/paintings/2020s/2025/Monarch-Fish.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Monarch-Fish.html","YES","../../../images/Paintings/2020s/2025/monarch_fish.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\monarch_fish.jpg","YES","Monarch Fish","2025","Oil and acrylic on paper","24 × 36 inches","RE-001714","RE-001714","None observed.","../../../../images/Paintings/2020s/2025/monarch_fish.jpg","YES"
"26","Old Spongebob","Old Spongebob","../../../detail/paintings/2020s/2025/Old-Spongebob.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Old-Spongebob.html","YES","../../../images/Paintings/2020s/2025/old spongebob.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\old spongebob.jpg","YES","Old Spongebob","2025","Oil and acrylic on paper","24 × 36 inches","RE-001715","RE-001715","None observed.","../../../../images/Paintings/2020s/2025/old spongebob.jpg","YES"
"27","Peace Combrat","Peace Combrat","../../../detail/paintings/2020s/2025/Peace-Combrat.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Peace-Combrat.html","YES","../../../images/Paintings/2020s/2025/peace_combrat.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\peace_combrat.jpg","YES","Peace Combrat","2025","Oil and acrylic on paper","24 × 36 inches","RE-001716","RE-001716","None observed.","../../../../images/Paintings/2020s/2025/peace_combrat.jpg","YES"
"28","Punk Skunk Landscape","Punk skunk Landscape","../../../detail/paintings/2020s/2025/Punkskunk-Landscape.html","D:\github\ron-english-paintings-2020s\detail\paintings\2020s\2025\Punkskunk-Landscape.html","YES","../../../images/Paintings/2020s/2025/punkskunk_landscape.jpg","D:\github\ron-english-paintings-2020s\images\Paintings\2020s\2025\punkskunk_landscape.jpg","YES","Punk Skunk Landscape","2025","Oil and acrylic on paper","24 × 36 inches","RE-001717","RE-001717","None observed.","../../../../images/Paintings/2020s/2025/punkskunk_landscape.jpg","YES"
